,Mass (g),Motor mass (g),CG location (cm),Reference length (cm)
259,31820.0,4757.0,334.985,15.7
260,31820.0,4757.0,334.985,15.7
261,31820.0,4757.0,334.985,15.7
262,31820.0,4757.0,334.985,15.7
263,31820.0,4757.0,334.985,15.7
264,31820.0,4757.0,334.985,15.7
265,31820.0,4757.0,334.985,15.7
266,31820.0,4757.0,334.985,15.7
267,31820.0,4757.0,334.985,15.7
268,31820.0,4757.0,334.985,15.7
269,31820.0,4757.0,334.985,15.7
270,31820.0,4757.0,334.985,15.7
271,31820.0,4757.0,334.985,15.7
272,31820.0,4757.0,334.985,15.7
273,31820.0,4757.0,334.985,15.7
274,31820.0,4757.0,334.985,15.7
275,31820.0,4757.0,334.985,15.7
276,31820.0,4757.0,334.985,15.7
277,31820.0,4757.0,334.985,15.7
278,31820.0,4757.0,334.985,15.7
279,31820.0,4757.0,334.985,15.7
280,31820.0,4757.0,334.985,15.7
281,31820.0,4757.0,334.985,15.7
282,31820.0,4757.0,334.985,15.7
283,31820.0,4757.0,334.985,15.7
284,31820.0,4757.0,334.985,15.7
285,31820.0,4757.0,334.985,15.7
286,31820.0,4757.0,334.985,15.7
287,31820.0,4757.0,334.985,15.7
288,31820.0,4757.0,334.985,15.7
289,31820.0,4757.0,334.985,15.7
290,31820.0,4757.0,334.985,15.7
291,31820.0,4757.0,334.985,15.7
292,31820.0,4757.0,334.985,15.7
293,31820.0,4757.0,334.985,15.7
294,31820.0,4757.0,334.985,15.7
295,31820.0,4757.0,334.985,15.7
296,31820.0,4757.0,334.985,15.7
297,31820.0,4757.0,334.985,15.7
298,31820.0,4757.0,334.985,15.7
299,31820.0,4757.0,334.985,15.7
300,31820.0,4757.0,334.985,15.7
301,31820.0,4757.0,334.985,15.7
302,31820.0,4757.0,334.985,15.7
303,31820.0,4757.0,334.985,15.7
304,31820.0,4757.0,334.985,15.7
305,31820.0,4757.0,334.985,15.7
306,31820.0,4757.0,334.985,15.7
307,31820.0,4757.0,334.985,15.7
308,31820.0,4757.0,334.985,15.7
309,31820.0,4757.0,334.985,15.7
310,31820.0,4757.0,334.985,15.7
311,31820.0,4757.0,334.985,15.7
312,31820.0,4757.0,334.985,15.7
313,31820.0,4757.0,334.985,15.7
314,31820.0,4757.0,334.985,15.7
315,31820.0,4757.0,334.985,15.7
316,31820.0,4757.0,334.985,15.7
317,31820.0,4757.0,334.985,15.7
318,31820.0,4757.0,334.985,15.7
319,31820.0,4757.0,334.985,15.7
320,31820.0,4757.0,334.985,15.7
321,31820.0,4757.0,334.985,15.7
322,31820.0,4757.0,334.985,15.7
323,31820.0,4757.0,334.985,15.7
324,31820.0,4757.0,334.985,15.7
325,31820.0,4757.0,334.985,15.7
326,31820.0,4757.0,334.985,15.7
327,31820.0,4757.0,334.985,15.7
328,31820.0,4757.0,334.985,15.7
329,31820.0,4757.0,334.985,15.7
330,31820.0,4757.0,334.985,15.7
331,31820.0,4757.0,334.985,15.7
332,31820.0,4757.0,334.985,15.7
333,31820.0,4757.0,334.985,15.7
334,31820.0,4757.0,334.985,15.7
335,31820.0,4757.0,334.985,15.7
336,31820.0,4757.0,334.985,15.7
337,31820.0,4757.0,334.985,15.7
338,31820.0,4757.0,334.985,15.7
339,31820.0,4757.0,334.985,15.7
340,31820.0,4757.0,334.985,15.7
341,31820.0,4757.0,334.985,15.7
342,31820.0,4757.0,334.985,15.7
343,31820.0,4757.0,334.985,15.7
344,31820.0,4757.0,334.985,15.7
345,31820.0,4757.0,334.985,15.7
346,31820.0,4757.0,334.985,15.7
347,31820.0,4757.0,334.985,15.7
348,31820.0,4757.0,334.985,15.7
349,31820.0,4757.0,334.985,15.7
350,31820.0,4757.0,334.985,15.7
351,31820.0,4757.0,334.985,15.7
352,31820.0,4757.0,334.985,15.7
353,31820.0,4757.0,334.985,15.7
354,31820.0,4757.0,334.985,15.7
355,31820.0,4757.0,334.985,15.7
356,31820.0,4757.0,334.985,15.7
357,31820.0,4757.0,334.985,15.7
358,31820.0,4757.0,334.985,15.7
359,31820.0,4757.0,334.985,15.7
360,31820.0,4757.0,334.985,15.7
361,31820.0,4757.0,334.985,15.7
362,31820.0,4757.0,334.985,15.7
363,31820.0,4757.0,334.985,15.7
364,31820.0,4757.0,334.985,15.7
365,31820.0,4757.0,334.985,15.7
366,31820.0,4757.0,334.985,15.7
367,31820.0,4757.0,334.985,15.7
368,31820.0,4757.0,334.985,15.7
369,31820.0,4757.0,334.985,15.7
370,31820.0,4757.0,334.985,15.7
371,31820.0,4757.0,334.985,15.7
372,31820.0,4757.0,334.985,15.7
373,31820.0,4757.0,334.985,15.7
374,31820.0,4757.0,334.985,15.7
375,31820.0,4757.0,334.985,15.7
376,31820.0,4757.0,334.985,15.7
377,31820.0,4757.0,334.985,15.7
378,31820.0,4757.0,334.985,15.7
379,31820.0,4757.0,334.985,15.7
380,31820.0,4757.0,334.985,15.7
381,31820.0,4757.0,334.985,15.7
382,31820.0,4757.0,334.985,15.7
383,31820.0,4757.0,334.985,15.7
384,31820.0,4757.0,334.985,15.7
385,31820.0,4757.0,334.985,15.7
386,31820.0,4757.0,334.985,15.7
387,31820.0,4757.0,334.985,15.7
388,31820.0,4757.0,334.985,15.7
389,31820.0,4757.0,334.985,15.7
390,31820.0,4757.0,334.985,15.7
391,31820.0,4757.0,334.985,15.7
392,31820.0,4757.0,334.985,15.7
393,31820.0,4757.0,334.985,15.7
394,31820.0,4757.0,334.985,15.7
395,31820.0,4757.0,334.985,15.7
396,31820.0,4757.0,334.985,15.7
397,31820.0,4757.0,334.985,15.7
398,31820.0,4757.0,334.985,15.7
399,31820.0,4757.0,334.985,15.7
400,31820.0,4757.0,334.985,15.7
401,31820.0,4757.0,334.985,15.7
402,31820.0,4757.0,334.985,15.7
403,31820.0,4757.0,334.985,15.7
404,31820.0,4757.0,334.985,15.7
405,31820.0,4757.0,334.985,15.7
406,31820.0,4757.0,334.985,15.7
407,31820.0,4757.0,334.985,15.7
408,31820.0,4757.0,334.985,15.7
409,31820.0,4757.0,334.985,15.7
410,31820.0,4757.0,334.985,15.7
411,31820.0,4757.0,334.985,15.7
412,31820.0,4757.0,334.985,15.7
413,31820.0,4757.0,334.985,15.7
414,31820.0,4757.0,334.985,15.7
415,31820.0,4757.0,334.985,15.7
416,31820.0,4757.0,334.985,15.7
417,31820.0,4757.0,334.985,15.7
418,31820.0,4757.0,334.985,15.7
419,31820.0,4757.0,334.985,15.7
420,31820.0,4757.0,334.985,15.7
421,31820.0,4757.0,334.985,15.7
422,31820.0,4757.0,334.985,15.7
423,31820.0,4757.0,334.985,15.7
424,31820.0,4757.0,334.985,15.7
425,31820.0,4757.0,334.985,15.7
