Mach Number,Alpha (deg),Protuberance (%),CD Power-Off,CD Power-On,CA Power-Off,CA Power-On,CN Total,CP Total
0.54,8.0,1.0,0.91,0.885,0.788,0.762,0.935,85.95
0.55,6.0,0.0,0.596,0.571,0.526,0.5,0.701,85.95
0.55,6.0,1.0,0.851,0.826,0.782,0.757,0.701,85.95
0.55,8.0,0.0,0.655,0.63,0.53,0.505,0.935,85.95
0.55,8.0,1.0,0.911,0.886,0.789,0.763,0.935,85.95
0.56,6.0,0.0,0.597,0.572,0.527,0.502,0.701,85.95
0.56,6.0,1.0,0.852,0.827,0.783,0.758,0.701,85.95
0.56,8.0,0.0,0.656,0.631,0.531,0.506,0.935,85.95
0.56,8.0,1.0,0.912,0.887,0.79,0.765,0.935,85.95
0.57,6.0,0.0,0.599,0.573,0.528,0.503,0.701,85.95
0.57,6.0,1.0,0.854,0.828,0.785,0.759,0.701,85.95
0.57,8.0,0.0,0.658,0.632,0.533,0.507,0.935,85.95
0.57,8.0,1.0,0.914,0.889,0.791,0.766,0.935,85.95
0.58,6.0,0.0,0.6,0.575,0.529,0.504,0.701,85.95
0.58,6.0,1.0,0.855,0.83,0.786,0.761,0.701,85.95
0.58,8.0,0.0,0.659,0.634,0.534,0.509,0.935,85.95
0.58,8.0,1.0,0.915,0.89,0.793,0.767,0.935,85.95
0.59,6.0,0.0,0.601,0.576,0.531,0.505,0.701,85.95
0.59,6.0,1.0,0.856,0.831,0.787,0.762,0.701,85.95
0.59,8.0,0.0,0.66,0.635,0.535,0.51,0.935,85.95
0.59,8.0,1.0,0.916,0.891,0.794,0.768,0.935,85.95
0.6,6.0,0.0,0.603,0.577,0.532,0.506,0.701,85.95
0.6,6.0,1.0,0.858,0.832,0.789,0.763,0.701,85.95
0.6,8.0,0.0,0.662,0.636,0.537,0.51,0.935,85.95
0.6,8.0,1.0,0.918,0.892,0.796,0.769,0.935,85.95
0.61,6.0,0.0,0.604,0.578,0.534,0.507,0.701,85.95
0.61,6.0,1.0,0.859,0.833,0.79,0.764,0.701,85.95
0.61,8.0,0.0,0.664,0.637,0.539,0.512,0.935,85.95
0.61,8.0,1.0,0.92,0.893,0.797,0.77,0.935,85.95
0.62,6.0,0.0,0.606,0.579,0.536,0.509,0.701,85.95
0.62,6.0,1.0,0.861,0.834,0.792,0.765,0.701,85.95
0.62,8.0,0.0,0.665,0.638,0.54,0.513,0.935,85.95
0.62,8.0,1.0,0.921,0.894,0.799,0.772,0.935,85.95
0.63,6.0,0.0,0.608,0.58,0.538,0.51,0.701,85.95
0.63,6.0,1.0,0.863,0.835,0.794,0.766,0.701,85.95
0.63,8.0,0.0,0.667,0.639,0.542,0.514,0.935,85.95
0.63,8.0,1.0,0.923,0.895,0.801,0.773,0.935,85.95
0.64,6.0,0.0,0.61,0.582,0.54,0.511,0.701,85.95
0.64,6.0,1.0,0.865,0.837,0.796,0.768,0.701,85.95
0.64,8.0,0.0,0.669,0.641,0.544,0.516,0.935,85.95
0.64,8.0,1.0,0.925,0.897,0.803,0.774,0.935,85.95
0.65,6.0,0.0,0.612,0.583,0.542,0.513,0.701,85.95
0.65,6.0,1.0,0.867,0.838,0.798,0.769,0.701,85.95
0.65,8.0,0.0,0.671,0.642,0.546,0.517,0.935,85.95
0.65,8.0,1.0,0.927,0.898,0.805,0.776,0.935,85.95
0.66,6.0,0.0,0.614,0.585,0.544,0.514,0.701,85.95
0.66,6.0,1.0,0.869,0.84,0.8,0.771,0.701,85.95
0.66,8.0,0.0,0.673,0.644,0.548,0.519,0.935,85.95
0.66,8.0,1.0,0.929,0.9,0.807,0.777,0.935,85.95
0.67,6.0,0.0,0.616,0.587,0.546,0.516,0.701,85.95
0.67,6.0,1.0,0.871,0.842,0.802,0.772,0.701,85.95
0.67,8.0,0.0,0.675,0.646,0.551,0.521,0.935,85.95
0.67,8.0,1.0,0.931,0.902,0.809,0.779,0.935,85.95
0.68,6.0,0.0,0.618,0.588,0.548,0.518,0.701,85.95
0.68,6.0,1.0,0.873,0.843,0.805,0.774,0.701,85.95
0.68,8.0,0.0,0.678,0.647,0.553,0.522,0.935,85.95
0.68,8.0,1.0,0.934,0.903,0.812,0.781,0.935,85.95
0.69,6.0,0.0,0.621,0.59,0.551,0.52,0.701,85.95
0.69,6.0,1.0,0.876,0.845,0.807,0.776,0.701,85.95
0.69,8.0,0.0,0.68,0.649,0.555,0.524,0.935,85.95
0.69,8.0,1.0,0.936,0.905,0.814,0.783,0.935,85.95
0.7,6.0,0.0,0.623,0.592,0.553,0.522,0.701,85.95
0.7,6.0,1.0,0.878,0.847,0.81,0.778,0.701,85.95
0.7,8.0,0.0,0.683,0.651,0.558,0.526,0.935,85.95
0.7,8.0,1.0,0.939,0.907,0.816,0.785,0.935,85.95
0.71,6.0,0.0,0.623,0.591,0.553,0.521,0.701,85.95
0.71,6.0,1.0,0.878,0.846,0.809,0.777,0.701,85.95
0.71,8.0,0.0,0.682,0.65,0.558,0.525,0.935,85.95
0.71,8.0,1.0,0.938,0.906,0.816,0.784,0.935,85.95
0.72,6.0,0.0,0.623,0.59,0.552,0.52,0.701,85.95
0.72,6.0,1.0,0.878,0.845,0.809,0.776,0.701,85.95
0.72,8.0,0.0,0.682,0.649,0.557,0.524,0.935,85.95
0.72,8.0,1.0,0.938,0.905,0.816,0.783,0.935,85.95
0.73,6.0,0.0,0.622,0.589,0.552,0.519,0.701,85.95
0.73,6.0,1.0,0.877,0.844,0.808,0.775,0.701,85.95
0.73,8.0,0.0,0.681,0.648,0.557,0.523,0.935,85.95
0.73,8.0,1.0,0.937,0.904,0.815,0.782,0.935,85.95
0.74,6.0,0.0,0.622,0.588,0.551,0.518,0.701,85.95
0.74,6.0,1.0,0.877,0.843,0.808,0.774,0.701,85.95
0.74,8.0,0.0,0.681,0.647,0.556,0.522,0.935,85.95
0.74,8.0,1.0,0.937,0.903,0.815,0.781,0.935,85.95
0.75,6.0,0.0,0.621,0.587,0.551,0.517,0.701,85.95
0.75,6.0,1.0,0.876,0.842,0.807,0.773,0.701,85.95
0.75,8.0,0.0,0.68,0.646,0.555,0.521,0.935,85.95
0.75,8.0,1.0,0.936,0.902,0.814,0.78,0.935,85.95
0.76,6.0,0.0,0.621,0.586,0.55,0.516,0.701,85.95
0.76,6.0,1.0,0.876,0.841,0.807,0.772,0.701,85.95
0.76,8.0,0.0,0.68,0.645,0.555,0.52,0.935,85.95
0.76,8.0,1.0,0.936,0.901,0.814,0.779,0.935,85.95
0.77,6.0,0.0,0.62,0.585,0.55,0.515,0.701,85.95
0.77,6.0,1.0,0.875,0.84,0.806,0.771,0.701,85.95
0.77,8.0,0.0,0.679,0.644,0.554,0.519,0.935,85.95
0.77,8.0,1.0,0.935,0.9,0.813,0.778,0.935,85.95
0.78,6.0,0.0,0.62,0.584,0.549,0.514,0.701,85.95
0.78,6.0,1.0,0.875,0.839,0.806,0.77,0.701,85.95
0.78,8.0,0.0,0.679,0.643,0.554,0.518,0.935,85.95
0.78,8.0,1.0,0.935,0.899,0.813,0.777,0.935,85.95
0.79,6.0,0.0,0.619,0.583,0.549,0.513,0.701,85.95
0.79,6.0,1.0,0.874,0.838,0.805,0.769,0.701,85.95
0.79,8.0,0.0,0.678,0.642,0.553,0.517,0.935,85.95
0.79,8.0,1.0,0.934,0.898,0.812,0.776,0.935,85.95
0.8,6.0,0.0,0.618,0.582,0.548,0.512,0.701,85.95
0.8,6.0,1.0,0.873,0.837,0.805,0.768,0.701,85.95
